USSA > Fri Jul 07 08:00:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Sat Jul 08 17:48:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[5]
USSA > Sat Jul 08 17:51:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Sat Jul 08 17:58:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[15]
USSA > Sat Jul 08 18:01:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 18:25:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[1]
USSA > Sat Jul 08 18:28:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sat Jul 08 18:46:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[5]
USSA > Sat Jul 08 18:50:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sat Jul 08 20:29:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[1]
USSA > Sat Jul 08 20:33:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sat Jul 08 21:52:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[4]
USSA > Sat Jul 08 21:56:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Sat Jul 08 22:13:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 22:17:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sat Jul 08 22:26:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[23]
USSA > Sat Jul 08 22:28:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sat Jul 08 22:52:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[4]
USSA > Sat Jul 08 22:55:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 23:00:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[1]
USSA > Sat Jul 08 23:02:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Sun Jul 09 00:42:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[3]
USSA > Sun Jul 09 00:43:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Sun Jul 09 00:53:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[5]
USSA > Sun Jul 09 00:54:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Sun Jul 09 01:22:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[3]
USSA > Sun Jul 09 01:27:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sun Jul 09 01:40:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[23]
USSA > Sun Jul 09 01:43:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Sun Jul 09 03:02:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[5]
USSA > Sun Jul 09 03:07:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sun Jul 09 04:09:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[3]
USSA > Sun Jul 09 04:11:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sun Jul 09 04:36:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[3]
USSA > Sun Jul 09 04:38:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sun Jul 09 05:05:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[1]
USSA > Sun Jul 09 05:08:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Sun Jul 09 05:18:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[5]
USSA > Sun Jul 09 05:23:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Sun Jul 09 05:40:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[5]
USSA > Sun Jul 09 05:41:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Sun Jul 09 05:48:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[15]
USSA > Sun Jul 09 05:49:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sun Jul 09 06:23:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[1]
USSA > Sun Jul 09 06:28:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sun Jul 09 07:10:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[3]
USSA > Sun Jul 09 07:12:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Sun Jul 09 08:24:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[3]
USSA > Sun Jul 09 08:28:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sun Jul 09 08:37:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[15]
USSA > Sun Jul 09 08:38:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sun Jul 09 08:49:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[1]
USSA > Sun Jul 09 08:52:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sun Jul 09 09:18:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[4]
USSA > Sun Jul 09 09:19:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sun Jul 09 09:38:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[4]
USSA > Sun Jul 09 09:42:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sun Jul 09 10:07:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[1]
USSA > Sun Jul 09 10:11:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sun Jul 09 10:41:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[1]
USSA > Sun Jul 09 10:42:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sun Jul 09 11:11:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[3]
USSA > Sun Jul 09 11:16:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sun Jul 09 11:37:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[3]
USSA > Sun Jul 09 11:39:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Sun Jul 09 11:45:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[4]
USSA > Sun Jul 09 11:49:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sun Jul 09 12:00:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[3]
USSA > Sun Jul 09 12:02:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sun Jul 09 12:28:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[4]
USSA > Sun Jul 09 12:32:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Sun Jul 09 12:58:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Sun Jul 09 13:03:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Sun Jul 09 13:21:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[1]
USSA > Sun Jul 09 13:25:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
